fok_20,novelty_20,bt,fail,log_cit_10
17.0,16.0,3.828246249353337,21.779617175375066,2.635227473955578
2.0,18.0,4.811320754716982,18.867924528301888,2.7353306915993603
16.0,15.0,3.7472035794183443,22.483221476510067,2.602411478539362
18.0,18.0,4.517704517704518,22.66992266992267,2.6461946999513986
9.0,13.0,2.944444444444444,20.11111111111111,2.652868524247859
2.0,4.0,2.004581901489118,18.384879725085913,2.6399374054541354
6.0,17.0,2.564102564102564,20.659340659340657,2.686357612732946
10.0,13.0,1.9047619047619049,20.11904761904762,2.5896658508351202
19.0,3.0,2.338811630847029,23.261694058154237,2.5089861250147996
3.0,5.0,1.6888433981576252,18.065506653019447,2.621969389180047
10.0,3.0,2.460984393757503,20.408163265306122,2.5701740979014214
0.0,3.0,1.7971246006389778,18.130990415335464,2.629952208704041
0.0,11.0,2.302631578947368,21.11842105263158,2.594663560932729
13.0,3.0,2.5380710659898478,21.51015228426396,2.576554470154097
9.0,3.0,2.0126509488211615,18.57389304197815,2.6535444470578224
5.0,3.0,1.6815554387808722,17.551234892275357,2.627251282951568
6.0,3.0,1.9956850053937432,19.956850053937433,2.5819508902851815
4.0,3.0,1.9989195029713667,20.097244732576986,2.607605407425762
17.0,3.0,2.629804450438301,21.98246797033041,2.57596228876821
16.0,3.0,1.751927119831815,22.845129642606867,2.574531910426281
14.0,3.0,2.272727272727273,20.730027548209367,2.593004662750035
11.0,3.0,1.9036287923854849,20.582986317668055,2.5645838527469667
2.0,3.0,2.0933014354066986,18.600478468899524,2.619784998698887
19.0,16.0,4.002026342451875,23.404255319148938,2.584789228910006
8.0,3.0,1.7593643586833143,19.693530079455165,2.603180504038101
7.0,3.0,2.127659574468085,21.05837424986361,2.5470276839650583
1.0,17.0,2.3356401384083045,18.079584775086506,2.669966686670417
18.0,3.0,2.1307861866274798,20.573108008817044,2.6014130646948517
3.0,3.0,1.8211920529801324,19.205298013245034,2.5915128452832734
12.0,16.0,2.4070021881838075,19.25601750547046,2.6470551446980943
1.0,3.0,1.7438692098092643,16.021798365122617,2.6158092196822484
16.0,16.0,4.521656354117088,21.751546882436934,2.6715559366678865
7.0,11.0,2.0161290322580645,20.910138248847925,2.5716529950323097
14.0,16.0,3.464322647362978,22.02688728024819,2.62185077383689
1.0,4.0,2.4390243902439024,19.362867098058736,2.5901996938396583
4.0,4.0,1.8459915611814346,18.459915611814345,2.603016433836362
19.0,15.0,3.0434782608695654,23.097826086956523,2.5143966201289074
